code,en,fr,de,it,pt,ar,ru,es,ja,zh
code.Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afghanistan,Afeganistão,أفغانستان ,Афганистан,Afganistán,アフガニスタン,阿富汗
code.Albania,Albania,Albanie,Albanien,Albania,Albânia,ألبانيا ,Албания,Albania,アルバニア,阿尔巴尼亚
code.Eritrea,Eritrea,Erythrée,Eritrea,Eritrea,Eritréia,اريتريا ,Эритрея,Eritrea,エリトリア,厄立特里亚
code.Iraq,Iraq,Irak,Irak,Iraq,Iraque,العراق,Ирак,Irak,イラク,伊拉克
code.Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,Kosovo,كوسوفو,Косово,Kosovo,コソボ,科索沃
code.Othercountries,Other countries,Autres pays,Andere Länder,Altri paesi,Outros países ,بلدان أخرى ,Другие страны,Otros países,その他の国,其他国家
code.Syria,Syria,Syrie,Syrien,Siria,Síria,سوريا ,Сирия,Siria,シリア,叙利亚
code.Austria,Austria,Autriche,Österreich,Austria,Áustria,النمسا ,Австрия,Austria,オーストリア,奥地利
code.Switzerland,Switzerland,Suisse,Schweiz,Svizzera,Suíça,سويسرا,Швейцария,Suiza,スイス,瑞士
code.Germany,Germany,Allemagne,Deutschland,Germania,Alemanha,ألمانيا ,Германия,Alemania,ドイツ,德国
code.France,France,France,Frankreich,Francia,França,فرنسا ,Франция,Francia,フランス,法国
code.Hungary,Hungary,Hongrie,Ungarn,Ungheria,Hungria,المجر ,Венгрия,Hungría,ハンガリー,匈牙利
code.Italy,Italy,Italie,Italien,Italia,Itália,إيطاليا ,Италия,Italia,イタリア,意大利
code.OtherEuropeancountries,Other European countries,Autres pays européens,Andere europ. Länder,Altri paesi europei,Outros países europeus,بلدان أوروبية أخرى,Другие страны Европы,Otros pases europeos,その他のヨーロッパ諸国,其他欧洲国家
code.Sweden,Sweden,Suède,Schweden,Svezia,Suécia,السويد,Швеция,Suecia,スウェーデン,瑞典
code.UnitedKingdom,United Kingdom,Royaume-Uni,Grossbritannien,Regno Unito,Reino Unido,المملكة المتحدة,Великобритания,Reino Unido,イギリス,英国
